"Country/Area","Year","Unit","GDP, Per Capita GDP at constant 2015 prices - US Dollars"
"Mongolia","2020","US$","4077.731213924188"
"Montenegro","2020","US$","6450.568260979514"
"Montserrat","2020","US$","13169.384628870179"
"Morocco","2020","US$","3061.1335558737105"
"Mozambique","2020","US$","574.5955320726235"
"Myanmar","2020","US$","1193.1848249703307"
"Namibia","2020","US$","4084.2532402200754"
"Nauru","2020","US$","10299.395518292977"
"Nepal","2020","US$","999.1793099763506"
"Netherlands","2020","US$","47155.727790690195"
"New Caledonia","2020","US$","30674.120201200323"
"New Zealand","2020","US$","42451.45242238946"
"Nicaragua","2020","US$","1922.3477942460577"
"Niger","2020","US$","522.1600389360775"
"Nigeria","2020","US$","2434.3260472611178"
"Northern Africa","2020","US$","3396.6892004044585"
"Northern America","2020","US$","56542.93323906613"
"Northern Europe","2020","US$","46355.68616641964"
"Norway","2020","US$","74481.05057890282"
"Oceania","2020","US$","37990.41841918379"
"Oman","2020","US$","13737.139075591838"
"Pakistan","2020","US$","1446.8089238996113"
"Palau","2020","US$","14113.006963634354"
"Panama","2020","US$","12168.492293422196"
"Papua New Guinea","2020","US$","2690.0765518369753"
"Paraguay","2020","US$","5645.988920259143"
"Peru","2020","US$","5792.115158342764"
"Philippines","2020","US$","3269.668105951917"
"Poland","2020","US$","14681.115172174927"
"Polynesia","2020","US$","11599.195381393769"
"Portugal","2020","US$","19958.172296716755"
"Puerto Rico","2020","US$","32388.96812681699"
"Qatar","2020","US$","56019.45735126536"
"Republic of Korea","2020","US$","31673.900822175034"
"Republic of Moldova","2020","US$","2111.4276809385738"
"Republic of North Macedonia","2020","US$","5089.285804765497"
"Romania","2020","US$","10855.803458635795"
"Russian Federation","2020","US$","9703.84560718611"
"Rwanda","2020","US$","833.1261218275976"
"Saint Kitts and Nevis","2020","US$","16397.954898704706"
"Saint Lucia","2020","US$","8642.264503609491"
"Saint Vincent and the Grenadines","2020","US$","6998.4298130549105"
"Samoa","2020","US$","3831.2187956618063"
"San Marino","2020","US$","41617.225372960354"
"Sao Tome and Principe","2020","US$","1703.9663430184128"
"Saudi Arabia","2020","US$","18691.24172105304"
"Senegal","2020","US$","1354.789404023909"
"Serbia","2020","US$","6485.812446934634"
"Seychelles","2020","US$","14095.596910246224"
"Sierra Leone","2020","US$","627.7000616529385"
"Singapore","2020","US$","56422.99095601059"
"Sint Maarten (Dutch part)","2020","US$","17072.09779966868"
"Slovakia","2020","US$","17351.14029678882"
"Slovenia","2020","US$","23148.690932903814"
"Solomon Islands","2020","US$","2135.178764123882"
"Somalia","2020","US$","99.48444254674618"
"South Africa","2020","US$","5116.4878564204955"
"South America","2020","US$","7853.966942211294"
"South Sudan","2020","US$","541.823301672043"
"South-Eastern Asia","2020","US$","4297.410245608085"
"Southern Africa","2020","US$","4970.92669310729"
"Southern Asia","2020","US$","1921.7746167513164"
"Southern Europe","2020","US$","23191.415719783563"
"Spain","2020","US$","25253.680759338014"
"Sri Lanka","2020","US$","4148.467206774316"
"State of Palestine","2020","US$","2747.3559291600327"
"Sub-Saharan Africa","2020","US$","1572.6233232507934"
"Sudan","2020","US$","2127.1129276756487"
"Suriname","2020","US$","7529.9217791916"
"Sweden","2020","US$","52919.88421255199"
"Switzerland","2020","US$","85506.47691483785"
"Syrian Arab Republic","2020","US$","1181.516926928904"
"Tajikistan","2020","US$","1218.6057009639665"
"Thailand","2020","US$","6199.186863486766"
"Timor-Leste","2020","US$","1600.7096215617642"
"Togo","2020","US$","812.9692278265843"
"Tonga","2020","US$","4272.319130205191"
"Trinidad and Tobago","2020","US$","15067.741099162431"
"Tunisia","2020","US$","3574.021582052947"
"Turkey","2020","US$","12038.590364643893"
"Turkmenistan","2020","US$","5173.569121425482"
"Turks and Caicos Islands","2020","US$","20724.450524685002"
"Tuvalu","2020","US$","3967.9682530181512"
"Uganda","2020","US$","779.8759113561133"
"Ukraine","2020","US$","2238.299580914858"
"United Arab Emirates","2020","US$","37497.57028716732"
"United Kingdom of Great Britain and Northern Ireland","2020","US$","42455.22523237093"
"United Republic of Tanzania: Mainland","2020","US$","1116.500960761539"
"United Republic of Tanzania: Zanzibar","2020","US$","936.6434984373284"
"United States","2020","US$","58147.74887543684"
"Uruguay","2020","US$","16343.593497738131"
"Uzbekistan","2020","US$","3073.3841713657225"
"Vanuatu","2020","US$","2577.206096557541"
"Venezuela (Bolivarian Republic of)","2020","US$","3445.506227590848"
"Viet Nam","2020","US$","2655.767995433869"
"Western Africa","2020","US$","1859.7649951089468"
"Western Asia","2020","US$","11303.001996071085"
"Western Europe","2020","US$","41961.890587603426"
"World","2020","US$","10454.695391267689"
"Yemen","2020","US$","691.533385219124"
"Zambia","2020","US$","1250.3662473710663"
"Zimbabwe","2020","US$","1373.0047771316586"
